date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-05-09,7.45,7.64,7.53,7.45,474225.78,0.03,0.4,7.44,7.464,7.517,346324.46,317120.12,369569.43,0.7
2017-05-08,7.35,7.52,7.5,7.2,593654.69,0.09,1.22,7.408,7.469,7.529,303924.46,318690.47,380138.3,0.87
2017-05-05,7.38,7.45,7.41,7.34,268970.12,0.03,0.41,7.406,7.469,7.544,222357.62,287279.76,393354.34,0.4
2017-05-04,7.36,7.44,7.38,7.34,179776.41,0.0,0.0,7.42,7.467,7.551,227750.7,287042.51,401262.7,0.26
2017-05-03,7.34,7.46,7.38,7.33,214995.31,0.01,0.14,7.454,7.464,7.558,262625.09,304048.02,416251.65,0.32
2017-05-02,7.41,7.47,7.37,7.35,262225.78,-0.12,-1.6,7.488,7.46,7.566,287915.78,322796.46,428881.64,0.39
2017-04-28,7.45,7.5,7.49,7.43,185820.48,0.01,0.13,7.53,7.473,7.57,333456.48,351017.92,442679.71,0.27
2017-04-27,7.55,7.56,7.48,7.38,295935.53,-0.07,-0.93,7.532,7.497,7.568,352201.89,370020.97,452635.52,0.44
2017-04-26,7.58,7.59,7.55,7.47,354148.34,0.0,0.0,7.514,7.535,7.568,346334.31,379966.28,455822.7,0.52
2017-04-25,7.51,7.63,7.55,7.45,341448.75,-0.03,-0.4,7.474,7.555,7.564,345470.95,395255.43,454263.84,0.5
2017-04-24,7.48,7.59,7.58,7.34,489929.28,0.08,1.07,7.432,7.569,7.567,357677.14,422018.75,455317.94,0.72
2017-04-21,7.39,7.54,7.5,7.39,279547.56,0.11,1.49,7.416,7.588,7.564,368579.37,441586.13,458594.79,0.41
2017-04-20,7.35,7.45,7.39,7.34,266597.62,0.04,0.54,7.462,7.618,7.573,387840.06,499428.93,465631.01,0.39
2017-04-19,7.33,7.4,7.35,7.3,349831.56,0.01,0.14,7.556,7.634,7.591,413598.24,515482.89,480891.37,0.52
2017-04-18,7.5,7.55,7.34,7.33,402479.66,-0.16,-2.13,7.636,7.652,7.613,445039.91,528455.28,518874.67,0.59
2017-04-17,7.61,7.61,7.5,7.45,544440.44,-0.23,-2.98,7.706,7.671,7.619,486360.36,534966.83,550770.71,0.8
2017-04-14,7.85,7.91,7.73,7.64,375851.0,-0.13,-1.65,7.76,7.667,7.611,514592.9,534341.51,561602.45,0.55
2017-04-13,7.7,7.88,7.86,7.68,395388.56,0.11,1.42,7.774,7.638,7.596,611017.8,535250.06,636197.14,0.58
2017-04-12,7.67,7.83,7.75,7.61,507039.88,0.06,0.78,7.712,7.601,7.558,617367.54,531679.12,634599.28,0.75
2017-04-11,7.77,7.84,7.69,7.57,609081.94,-0.08,-1.03,7.668,7.572,7.522,611870.65,513272.25,620601.71,0.9
2017-04-10,7.8,7.99,7.77,7.74,685603.12,-0.03,-0.39,7.636,7.564,7.487,583573.3,488617.13,599365.46,1.01
2017-04-07,7.53,7.91,7.8,7.53,857975.5,0.25,3.31,7.574,7.539,7.451,554090.11,475603.44,580667.18,1.26
